episode,epsilon,total_reward,avg_reward,total_shaped_reward,avg_shaped_reward,avg_loss
1,0.9995,0.0,0.0,-12.824724000564215,-6.412362000282108,0.000178507321764614
2,0.9990002500000001,0.0,0.0,-12.502441671846643,-6.251220835923322,7.9870207544965e-05
3,0.9985007498750001,0.0,0.0,-11.604289088336458,-5.802144544168229,0.00010119756828186967
4,0.9980014995000627,0.0,0.0,-13.213431223960196,-6.606715611980098,0.00010409718749412735
5,0.9975024987503127,0.0,0.0,-13.259355048977557,-6.629677524488779,9.753655118402093e-05
6,0.9970037475009376,1.0,0.5,-10.73155094392227,-5.365775471961135,0.001089772220865208
7,0.9965052456271871,0.0,0.0,-13.119235087774594,-6.559617543887297,0.002112333386654167
8,0.9960069930043736,0.0,0.0,-14.100759040187095,-7.050379520093547,0.0012070108000105913
9,0.9955089895078715,0.0,0.0,-14.48664976811147,-7.243324884055735,0.0007134998054867278
10,0.9950112350131176,1.0,0.5,-11.668464321053186,-5.834232160526593,0.0007149210084753577
11,0.9945137293956111,0.0,0.0,-14.70535722505235,-7.352678612526175,0.0013564986040832342
12,0.9940164725309134,0.0,0.0,-10.979644660940675,-5.4898223304703375,0.0007854886893931377
13,0.993519464294648,0.0,0.0,-15.203410750828454,-7.601705375414227,0.00035514673891676857
14,0.9930227045625007,0.0,0.0,-11.69297540826356,-5.84648770413178,0.0003005204805439072
15,0.9925261932102195,0.0,0.0,-12.95373444845066,-6.47686722422533,0.0002693085267674178
16,0.9920299301136144,1.0,0.5,-13.417400061701123,-6.7087000308505615,0.00045603068025749444
17,0.9915339151485576,0.0,0.0,-14.92639325324134,-7.46319662662067,0.0003083932949604267
18,0.9910381481909833,0.0,0.0,-15.170212913353842,-7.585106456676921,0.00030881430989081437
19,0.990542629116888,0.0,0.0,-13.159644660940693,-6.579822330470346,0.000307828131813689
20,0.9900473578023296,0.0,0.0,-13.625461903737527,-6.8127309518687635,0.000278572328991556
21,0.9895523341234285,1.0,0.5,-10.269043311434547,-5.134521655717274,0.003280083047242702
22,0.9890575579563669,0.0,0.0,-12.692830107998963,-6.346415053999482,0.0024271055000800903
23,0.9885630291773887,0.0,0.0,-13.809322185429465,-6.904661092714733,0.001570408219039174
24,0.9880687476628001,0.0,0.0,-13.592606456676918,-6.796303228338459,0.0008802437190232532
25,0.9875747132889687,0.0,0.0,-13.695105342567219,-6.8475526712836094,0.0006788376273055162
26,0.9870809259323243,0.0,0.0,-10.154256224788348,-5.077128112394174,0.0005538647033556897
27,0.9865873854693582,0.0,0.0,-13.183912612263367,-6.591956306131683,0.0012382659043318458
28,0.9860940917766235,1.0,0.5,-13.086728119168903,-6.5433640595844516,0.0008936665659088508
29,0.9856010447307353,0.0,0.0,-12.110759040187087,-6.055379520093544,0.0009148013656626323
30,0.98510824420837,0.0,0.0,-13.316372780109571,-6.6581863900547855,0.0006452650847079764
31,0.9846156900862658,0.0,0.0,-11.57171572875254,-5.78585786437627,0.004607655187303733
32,0.9841233822412228,0.0,0.0,-12.12242829286421,-6.061214146432105,0.0024968768204728675
33,0.9836313205501022,0.0,0.0,-13.786280816524808,-6.893140408262404,0.0018204614957046162
34,0.9831395048898272,0.0,0.0,-14.19285223357883,-7.096426116789415,0.0015534704494971916
35,0.9826479351373822,0.0,0.0,-9.729322185429439,-4.864661092714719,0.0014688699183586452
36,0.9821566111698136,0.0,0.0,-11.67257359312882,-5.83628679656441,0.0011542802719798472
37,0.9816655328642288,0.0,0.0,-12.095871476903607,-6.0479357384518035,0.0011548449064970815
38,0.9811747000977967,0.0,0.0,-12.228911623697279,-6.114455811848639,0.001023142935092827
39,0.9806841127477479,0.0,0.0,-13.439155748151077,-6.719577874075538,0.0008267063423824896
40,0.9801937706913741,0.0,0.0,-10.653188321617375,-5.326594160808687,0.0011041489225629318
41,0.9797036738060285,0.0,0.0,-13.332573593128817,-6.666286796564409,0.0030919974479391905
42,0.9792138219691255,0.0,0.0,-11.790395943096431,-5.895197971548216,0.0023778593919372986
43,0.978724215058141,0.0,0.0,-11.578497184601277,-5.7892485923006385,0.001399996574452546
44,0.978234852950612,0.0,0.0,-9.655468439657852,-4.827734219828926,0.0017160678394637736
45,0.9777457355241367,0.0,0.0,-10.500469428223955,-5.250234714111977,0.0014242958404689229
46,0.9772568626563747,0.0,0.0,-14.720147186257641,-7.360073593128821,0.0016109315957874059
47,0.9767682342250465,0.0,0.0,-9.353464321053165,-4.676732160526583,0.0013968923164481696
48,0.976279850107934,0.0,0.0,-13.45786320509196,-6.72893160254598,0.0013325593968953138
49,0.9757917101828801,0.0,0.0,-15.723464321053207,-7.8617321605266035,0.001262851889311735
50,0.9753038143277888,0.0,0.0,-12.298854409653615,-6.149427204826807,0.0008933143532236239
51,0.974816162420625,2.0,1.0,-8.473767311998749,-4.2368836559993746,0.0033491434236722333
52,0.9743287543394147,0.0,0.0,-14.670614728488587,-7.335307364244294,0.0019394771027977445
53,0.973841589962245,0.0,0.0,-13.361695255620795,-6.680847627810397,0.0015282825057926987
54,0.973354669167264,0.0,0.0,-11.770362090982243,-5.885181045491121,0.0012474428893100205
55,0.9728679918326804,1.0,0.5,-10.96849718460128,-5.48424859230064,0.001335638706971492
56,0.972381557836764,1.0,0.5,-11.77056139180873,-5.885280695904365,0.001200187558840428
57,0.9718953670578457,0.0,0.0,-14.0022511176176,-7.0011255588088,0.00140531450684648
58,0.9714094193743169,1.0,0.5,-10.945568252413146,-5.472784126206573,0.0014950547317442084
59,0.9709237146646298,0.0,0.0,-12.101696244186893,-6.050848122093447,0.0013675127469468863
60,0.9704382528072976,1.0,0.5,-13.517440683280562,-6.758720341640281,0.0011202222455176526
61,0.9699530336808939,0.0,0.0,-13.326439729316753,-6.663219864658377,0.004205557349570362
62,0.9694680571640535,1.0,0.5,-10.432955923697902,-5.216477961848951,0.002456573668085704
63,0.9689833231354715,0.0,0.0,-12.418034274755342,-6.209017137377671,0.00233347072349196
64,0.9684988314739038,0.0,0.0,-12.001649768111463,-6.0008248840557314,0.002392806786894133
65,0.9680145820581669,0.0,0.0,-12.054434388601077,-6.027217194300539,0.002305671497597359
66,0.9675305747671379,0.0,0.0,-13.923464321053185,-6.9617321605265925,0.001997939057016213
67,0.9670468094797544,1.0,0.5,-11.684947651886262,-5.842473825943131,0.0016737374314107001
68,0.9665632860750146,0.0,0.0,-12.342930584636257,-6.171465292318128,0.002132394488767854
69,0.9660800044319772,0.0,0.0,-11.624644660940678,-5.812322330470339,0.0019197231587687773
70,0.9655969644297613,1.0,0.5,-10.158866136187935,-5.079433068093968,0.00229319270650324
71,0.9651141659475465,0.0,0.0,-14.44928908833647,-7.224644544168235,0.005940570159249806
72,0.9646316088645728,0.0,0.0,-13.459558227167847,-6.729779113583923,0.004054155117399725
73,0.9641492930601405,0.0,0.0,-10.900693079545995,-5.4503465397729975,0.004082482585217804
74,0.9636672184136105,0.0,0.0,-13.91518004980573,-6.957590024902865,0.003888742209944342
75,0.9631853848044037,1.0,0.5,-12.160370604034778,-6.080185302017389,0.0038500492549168744
76,0.9627037921120016,0.0,0.0,-11.492830107998962,-5.746415053999481,0.003985045497538522
77,0.9622224402159457,1.0,0.5,-12.040726176639001,-6.020363088319501,0.0035839879993415837
78,0.9617413289958378,0.0,0.0,-12.847573593128821,-6.423786796564411,0.003921733292351876
79,0.9612604583313399,0.0,0.0,-10.021715728752536,-5.010857864376268,0.003221852225085188
80,0.9607798281021742,0.0,0.0,-10.825427818078433,-5.4127139090392165,0.00324049633461982
81,0.9602994381881231,1.0,0.5,-11.822507632487731,-5.911253816243866,0.011844582588944053
82,0.9598192884690291,0.0,0.0,-12.413833272639843,-6.206916636319922,0.007672839714546821
83,0.9593393788247946,0.0,0.0,-14.95996027584751,-7.479980137923755,0.006844594719087971
84,0.9588597091353822,0.0,0.0,-13.35677558381041,-6.678387791905205,0.00606172608178375
85,0.9583802792808146,0.0,0.0,-12.279545836751495,-6.139772918375748,0.005365579448573824
86,0.9579010891411742,0.0,0.0,-13.30391261226337,-6.651956306131685,0.004619765152289931
87,0.9574221385966036,1.0,0.5,-8.930046476075425,-4.465023238037713,0.004766450072971305
88,0.9569434275273054,0.0,0.0,-10.573108748448956,-5.286554374224478,0.00540982617098572
89,0.9564649558135419,1.0,0.5,-11.000805516262524,-5.500402758131262,0.004222391206172428
90,0.9559867233356352,0.0,0.0,-10.502105817352966,-5.251052908676483,0.004590067211372246
91,0.9555087299739674,1.0,0.5,-13.90750763248774,-6.95375381624387,0.014522527267358133
92,0.9550309756089804,0.0,0.0,-10.704578700299583,-5.352289350149792,0.010787167797264244
93,0.954553460121176,0.0,0.0,-15.395916730868061,-7.6979583654340304,0.010060917945312602
94,0.9540761833911156,1.0,0.5,-13.3734312239602,-6.6867156119801,0.007538434232452086
95,0.95359914529942,0.0,0.0,-11.617988787246006,-5.808994393623003,0.007783344608864614
96,0.9531223457267703,1.0,0.5,-11.38705181679111,-5.693525908395555,0.007547535124633993
97,0.952645784553907,2.0,1.0,-8.672852233578816,-4.336426116789408,0.007438118396592992
98,0.9521694616616301,0.0,0.0,-9.9820187196981,-4.99100935984905,0.00780973831191659
99,0.9516933769307994,0.0,0.0,-11.97740880829853,-5.988704404149265,0.007961810235200184
100,0.951217530242334,0.0,0.0,-13.870535388865054,-6.935267694432527,0.007833767362338092
101,0.9507419214772129,0.0,0.0,-11.418601538602388,-5.709300769301194,0.017161140547000936
102,0.9502665505164744,0.0,0.0,-11.973187333051282,-5.986593666525641,0.011626989251401808
103,0.9497914172412162,0.0,0.0,-11.878786796564412,-5.939393398282206,0.010813354628958872
104,0.9493165215325956,1.0,0.5,-11.746715728752559,-5.873357864376279,0.009684141507106168
105,0.9488418632718294,0.0,0.0,-12.385302990945586,-6.192651495472793,0.009627458936800915
106,0.9483674423401935,0.0,0.0,-12.28072617663899,-6.140363088319495,0.009614395398114409
107,0.9478932586190235,0.0,0.0,-14.295904340451717,-7.147952170225858,0.008813846219730165
108,0.9474193119897141,0.0,0.0,-14.324947651886273,-7.162473825943136,0.00854276976082474
109,0.9469456023337193,2.0,1.0,-7.683912612263352,-3.841956306131676,0.007843338454674397
110,0.9464721295325524,0.0,0.0,-11.906906516526497,-5.953453258263249,0.007468258641394121
111,0.9459988934677862,1.0,0.5,-9.384434388601061,-4.692217194300531,0.012886407429884587
112,0.9455258940210524,0.0,0.0,-11.974769488073541,-5.9873847440367705,0.011109453017956444
113,0.9450531310740419,0.0,0.0,-11.812942544715472,-5.906471272357736,0.010440199680493346
114,0.9445806045085049,0.0,0.0,-10.19085786437626,-5.09542893218813,0.010603904647619596
115,0.9441083142062507,0.0,0.0,-14.312632459620605,-7.156316229810303,0.01006518843982901
116,0.9436362600491477,1.0,0.5,-10.720726176638998,-5.360363088319499,0.010625955352692732
117,0.9431644419191232,0.0,0.0,-12.824578700299604,-6.412289350149802,0.00957906058856419
118,0.9426928596981636,1.0,0.5,-9.880370604034782,-4.940185302017391,0.009404188501648605
119,0.9422215132683146,1.0,0.5,-8.364901175810816,-4.182450587905408,0.009209421422731663
120,0.9417504025116805,0.0,0.0,-11.30936743939389,-5.654683719696945,0.00922584641791348
121,0.9412795273104247,0.0,0.0,-13.186919895508947,-6.593459947754473,0.013700623019997563
