episode,epsilon,total_reward,avg_reward,avg_loss,steps
1,0.9995,0.0,0.0,0.00022756388227860742,[]
2,0.9990002500000001,0.0,0.0,2.5393035618565462e-05,[]
3,0.9985007498750001,0.0,0.0,2.1985077762240376e-05,[]
4,0.9980014995000627,0.0,0.0,2.2657097359634853e-05,[]
5,0.9975024987503127,0.0,0.0,2.1426924532923815e-05,[]
6,0.9970037475009376,0.0,0.0,1.1950481857638806e-05,[]
7,0.9965052456271871,1.0,0.5,6.112935766655678e-05,[]
8,0.9960069930043736,0.0,0.0,0.0002987145620656,[]
9,0.9955089895078715,0.0,0.0,8.839601163474852e-05,[]
10,0.9950112350131176,0.0,0.0,1.1354239151322482e-05,[]
11,0.9945137293956111,0.0,0.0,1.0691855487233884e-05,[]
12,0.9940164725309134,0.0,0.0,8.077354383593567e-05,[]
13,0.993519464294648,0.0,0.0,2.0284349996992594e-05,[]
14,0.9930227045625007,0.0,0.0,1.10102583214809e-05,[]
15,0.9925261932102195,0.0,0.0,7.565520600759815e-06,[]
16,0.9920299301136144,0.0,0.0,6.38410906568814e-06,[]
17,0.9915339151485576,0.0,0.0,0.0001557170496939112,[]
18,0.9910381481909833,0.0,0.0,0.00015922902638132135,[]
19,0.990542629116888,0.0,0.0,5.252689779678934e-05,[]
20,0.9900473578023296,0.0,0.0,8.08442660802809e-05,[]
21,0.9895523341234285,0.0,0.0,0.00037790995243994983,[]
22,0.9890575579563669,0.0,0.0,0.00023111163952957474,[]
23,0.9885630291773887,0.0,0.0,0.00010601947721235255,[]
24,0.9880687476628001,0.0,0.0,8.937066952837215e-05,[]
25,0.9875747132889687,0.0,0.0,3.566239535497776e-05,[]
26,0.9870809259323243,0.0,0.0,2.455747594337611e-05,[]
27,0.9865873854693582,0.0,0.0,2.4970491290982214e-05,[]
28,0.9860940917766235,1.0,0.5,0.00010422314899967335,[]
29,0.9856010447307353,0.0,0.0,8.850425339785163e-05,[]
30,0.98510824420837,0.0,0.0,0.00023660528603483856,[]
31,0.9846156900862658,0.0,0.0,0.00018940130144333775,[]
32,0.9841233822412228,0.0,0.0,9.076244412816387e-05,[]
33,0.9836313205501022,0.0,0.0,0.00017409672185749513,[]
34,0.9831395048898272,0.0,0.0,0.0002095888077487221,[]
35,0.9826479351373822,0.0,0.0,9.564205758059481e-05,[]
36,0.9821566111698136,0.0,0.0,0.00010895769144553925,[]
